City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
鹰潭,18,9,10,0.24,3,45,34,5
义乌,20,3,19,0.35,6,53,35,5
宜兴,43,11,31,1.0,9,135,72,5
益阳,36,7,12,0.66,4,112,59,3
永州,29,11,28,0.5,7,75,54,4
岳阳,54,21,38,0.73,10,162,79,7
玉林,22,5,9,0.53,3,46,42,7
榆林,54,24,55,0.89,35,98,70,17
运城,47,19,33,0.56,4,133,92,4
云浮,20,3,9,0.5,8,39,38,5
玉树州,35,10,34,0.1,4,89,58,5
玉溪,31,16,24,0.63,11,97,42,4
枣庄,33,4,10,0.28,18,80,64,6
张家港,35,10,34,0.35,8,75,37,5
张家界,26,13,24,0.93,8,82,44,4
张家口,47,14,44,0.58,16,149,80,8
章丘,53,31,54,0.35,4,119,62,9
张掖,45,15,27,0.3,9,140,79,7
漳州,38,10,37,0.48,17,37,33,8
湛江,18,5,9,0.48,6,39,35,4
肇庆,16,4,8,0.48,14,35,31,5
昭通,30,14,29,0.45,11,88,59,8
招远,0,0,0,0.0,0,0,0,0
郑州,42,12,41,0.51,14,108,60,2
镇江,97,27,58,0.6,16,196,75,6
中山,22,4,9,0.38,20,40,43,3
中卫,44,11,24,0.57,9,136,86,10
周口,42,18,38,0.57,7,132,73,5
舟山,15,6,14,0.37,7,39,23,3
珠海,26,4,12,0.45,12,51,51,2
诸暨,19,8,12,0.35,3,60,35,2
驻马店,39,13,21,0.4,7,123,65,4
株洲,34,15,28,0.62,5,107,63,9
淄博,45,19,35,0.42,8,140,83,10
自贡,65,46,62,0.57,29,116,38,9
资阳,38,6,20,0.48,12,119,62,9
遵义,24,5,21,0.5,10,76,44,7
